,text,retweet_count,favorite_count,created_at,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities,Topic,x,y,topic_color
0,"RT @bts_bighit: A Piece of 'Take Two' - Jung Kook

STAY

Digital Single 'Take Two'
2023. 6. 9. 1PM KST Release

#TakeTwo #JungKook_STAY #Ju…",42545,0,2023-06-08 09:19:23+00:00,"['rt', 'btsbighit', 'piece', 'take', 'two', 'jung', 'kook', 'stay', 'digital', 'single', 'take', 'two', '2023', '6', '9', '1pm', 'kst', 'release', 'taketwo', 'jungkookstay', 'ju…']",0.0,0.0,1.0,0.0,Neutral,[],[],32,5.843213,-1.7483042,"(130, 229, 199)"
1,"RT @trengarajan: 284/ Battery swap may finally be viable at the low end of the emobility market with human labor for the swap.

Another won…",3,0,2023-06-03 16:06:13+00:00,"['rt', 'trengarajan', '284', 'battery', 'swap', 'may', 'finally', 'viable', 'low', 'end', 'emobility', 'market', 'human', 'labor', 'swap', 'another', 'won…']",0.116,0.0,0.884,-0.2732,Negative,[],[],32,5.80193,-1.7225056,"(130, 229, 199)"
2,RT @suse4u: @get2karthik @teakkadai1 But hoping for breakthrough battery tech which will eventually overcome this,1,0,2023-06-08 04:24:03+00:00,"['rt', 'suse4u', 'get2karthik', 'teakkadai1', 'hoping', 'breakthrough', 'battery', 'tech', 'eventually', 'overcome']",0.0,0.237,0.763,0.4215,Positive,[],[],32,5.8279467,-1.733251,"(130, 229, 199)"
3,@get2karthik @teakkadai1 But hoping for breakthrough battery tech which will eventually overcome this,1,0,2023-06-08 04:17:40+00:00,"['get2karthik', 'teakkadai1', 'hoping', 'breakthrough', 'battery', 'tech', 'eventually', 'overcome']",0.0,0.286,0.714,0.4215,Positive,[],[],32,5.818507,-1.7282343,"(130, 229, 199)"
4,"RT @wonder_watt: @Paper_street @bobbyllew For now possibly, but battery tech is improving quickly and will get lighter.

Lithium Sulfur bat…",1,0,2023-06-07 12:51:55+00:00,"['rt', 'wonderwatt', 'paperstreet', 'bobbyllew', 'possibly', 'battery', 'tech', 'improving', 'quickly', 'get', 'lighter', 'lithium', 'sulfur', 'bat…']",0.0,0.177,0.823,0.4215,Positive,[],[],32,5.8350716,-1.7253579,"(130, 229, 199)"
5,RT @dotsonj23: @SmokeyStock @Dorge27 But I could see them using the $mmat battery tech.,1,0,2023-06-06 16:06:22+00:00,"['rt', 'dotsonj23', 'smokeystock', 'dorge27', 'could', 'see', 'using', 'mmat', 'battery', 'tech']",0.0,0.0,1.0,0.0,Neutral,[],[],32,5.8054304,-1.7635101,"(130, 229, 199)"
6,@faridofanani96 Yes but new Battery tech is more likely on Oneplus 12 &amp; Find X7 Pro,0,5,2023-06-07 06:10:25+00:00,"['faridofanani96', 'yes', 'new', 'battery', 'tech', 'likely', 'oneplus', '12', 'amp', 'find', 'x7', 'pro']",0.0,0.197,0.803,0.4019,Positive,['faridofanani96'],[],32,5.8378572,-1.7134988,"(130, 229, 199)"
7,@Conserv28263300 @wayotworld Lithium ion battery,0,4,2023-06-05 04:12:03+00:00,"['conserv28263300', 'wayotworld', 'lithium', 'ion', 'battery']",0.0,0.0,1.0,0.0,Neutral,['conserv28263300'],[],32,5.962128,-1.7319101,"(130, 229, 199)"
8,@jmllubber @DavidMichery @FinJourney David said actions speak louder then words. He has been working 24/7. I believe him. I also believe in Lawrences battery tech. It is a mess though with Lawrence and DM and trying to come to some agreement.,0,2,2023-06-07 20:24:30+00:00,"['jmllubber', 'davidmichery', 'finjourney', 'david', 'said', 'action', 'speak', 'louder', 'word', 'working', '247', 'believe', 'also', 'believe', 'lawrence', 'battery', 'tech', 'mess', 'though', 'lawrence', 'dm', 'trying', 'come', 'agreement']",0.09,0.116,0.794,0.1779,Positive,[],[],32,5.752816,-1.7816483,"(130, 229, 199)"
9,@AlfredSpijk @EuPatrunjel @YuppersM @KevinLMak Battery tech is decades away for that configuration. No need to lose money on a company that is a dilution machine right now.,0,2,2023-06-06 20:14:24+00:00,"['alfredspijk', 'eupatrunjel', 'yuppersm', 'kevinlmak', 'battery', 'tech', 'decade', 'away', 'configuration', 'need', 'lose', 'money', 'company', 'dilution', 'machine', 'right']",0.153,0.0,0.847,-0.4019,Negative,['alfredspijk eupatrunjel'],[],32,5.808431,-1.7415915,"(130, 229, 199)"
10,@RedwingRobbie @PGATOUR @hardge_law87778 @Mullen_USA @FinJourney @chacha72kobe4er @Businesssdad @Sam1am1911 @MaryMichelleNay @PIF_en This ‘battery tech’ is not even on a Mullen vehicle.,0,2,2023-06-06 15:48:14+00:00,"['redwingrobbie', 'pgatour', 'hardgelaw87778', 'mullenusa', 'finjourney', 'chacha72kobe4er', 'businesssdad', 'sam1am1911', 'marymichellenay', 'pifen', '‘', 'battery', 'tech', '’', 'even', 'mullen', 'vehicle']",0.0,0.0,1.0,0.0,Neutral,['hardgelaw87778'],[],32,5.7979503,-1.7681001,"(130, 229, 199)"
11,@KeithDoyon @iridiumNGK The battery is lithium Ion. I am just heading out but can get back to you after I get back.,0,2,2023-06-04 20:43:02+00:00,"['eithdoyon', 'iridiumngk', 'battery', 'lithium', 'ion', 'heading', 'get', 'back', 'get', 'bac']",0.0,0.0,1.0,0.0,Neutral,[],[],32,5.985892,-1.6824958,"(130, 229, 199)"
12,@pressf1 @SebMendonca @rsgnl I just hope other companies have access to this kind of tech as well if they don't make their own battery. I'm just sick of lithium batts at this point. All these devices getting more powerful every year yet we can only use them a couple of hours in a single charge.,0,1,2023-06-06 21:16:38+00:00,"['pressf1', 'sebmendonca', 'rsgnl', 'hope', 'company', 'access', 'kind', 'tech', 'well', 'dont', 'make', 'battery', 'im', 'sick', 'lithium', 'batts', 'point', 'device', 'getting', 'powerful', 'every', 'year', 'yet', 'use', 'couple', 'hour', 'single', 'charge']",0.088,0.299,0.613,0.7845,Positive,['pressf1'],[],32,5.8461094,-1.6695017,"(130, 229, 199)"
13,@motasim @RS Lithium ion battery....,0,1,2023-06-04 18:52:32+00:00,"['motasim', 'r', 'lithium', 'ion', 'battery']",0.0,0.0,1.0,0.0,Neutral,['motasim r lithium ion'],[],32,5.97354,-1.6486272,"(130, 229, 199)"
14,"RT @bellaETH68: 🆓Complete #Polkadot  Airdrop : 
Visit https://t.co/5R049MNJ2y  to sign up and provide the necessary details. This will ensu…",18357,0,2023-06-08 09:12:01+00:00,"['rt', 'bellaeth68', '🆓complete', 'polkadot', 'airdrop', 'visit', 'sign', 'provide', 'necessary', 'detail', 'ensu…']",0.0,0.0,1.0,0.0,Neutral,[],[],-1,0.056180418,-2.280036,"(128, 128, 128)"
15,RT @MichaelaOkla: Electric shock therapy couldn’t make gay ppl straight but they rly think having a rainbow poster that says “be you” at an…,14880,0,2023-06-08 09:36:06+00:00,"['rt', 'michaelaokla', 'electric', 'shock', 'therapy', '’', 'make', 'gay', 'ppl', 'straight', 'rly', 'think', 'rainbow', 'poster', 'say', '“', '”', 'an…']",0.149,0.109,0.743,-0.1779,Negative,[],[],-1,1.0709344,-4.0471473,"(128, 128, 128)"
16,RT @greg_price11: What I am about to tell you should be the most important story in America but no national media is talking about it. Read…,9487,0,2023-06-08 08:11:21+00:00,"['rt', 'gregprice11', 'tell', 'important', 'story', 'america', 'national', 'medium', 'talking', 'read…']",0.0,0.167,0.833,0.2023,Positive,['gregprice11'],['america'],-1,1.1578696,-3.4503763,"(128, 128, 128)"
17,"RT @Dougmacd9826: We had everything, free dentists, free education, free eye tests, we owned all the services, rail, telecoms, water, gas,…",8193,0,2023-06-08 09:25:13+00:00,"['rt', 'dougmacd9826', 'everything', 'free', 'dentist', 'free', 'education', 'free', 'eye', 'test', 'owned', 'service', 'rail', 'telecom', 'water', 'gas…']",0.0,0.432,0.568,0.872,Positive,[],[],-1,1.0945684,-3.1710324,"(128, 128, 128)"
18,"RT @QuaiNetwork: Quai Network is more than 10,000 times more energy efficient than Bitcoin at full load, with the ability to become greenho…",6447,0,2023-06-08 00:48:54+00:00,"['rt', 'quainetwork', 'quai', 'network', '10000', 'time', 'energy', 'efficient', 'bitcoin', 'full', 'load', 'ability', 'become', 'greenho…']",0.0,0.396,0.604,0.7351,Positive,[],[],-1,-1.3073992,-4.966235,"(128, 128, 128)"
19,RT @SaeedDiCaprio: one of my friends is a trans woman doing a phd in gender studies and I swear on my life she mentioned trans ppl less tha…,3768,0,2023-06-08 09:32:07+00:00,"['rt', 'saeeddicaprio', 'one', 'friend', 'trans', 'woman', 'phd', 'gender', 'study', 'swear', 'life', 'mentioned', 'trans', 'ppl', 'le', 'tha…']",0.065,0.174,0.761,0.4588,Positive,[],[],-1,0.6109068,-3.963382,"(128, 128, 128)"
20,"RT @QuaiNetwork: At full load, Quai Network is more than 10,000 times more energy efficient than Bitcoin. 

Learn more about Quai's energy…",3510,0,2023-06-08 07:31:36+00:00,"['rt', 'quainetwork', 'full', 'load', 'quai', 'network', '10000', 'time', 'energy', 'efficient', 'bitcoin', 'learn', 'quais', 'energy…']",0.0,0.29,0.71,0.5994,Positive,[],[],-1,-1.318131,-4.979599,"(128, 128, 128)"
21,"RT @SolarIndiaTweet: Retweet if you think solar roofs are solution for clean and renewable energy india , follow us for support ⚡️🌲 https:/…",3485,0,2023-06-08 08:45:28+00:00,"['rt', 'solarindiatweet', 'retweet', 'think', 'solar', 'roof', 'solution', 'clean', 'renewable', 'energy', 'india', 'follow', 'u', 'support', '⚡️🌲']",0.0,0.495,0.505,0.8316,Positive,[],['india'],-1,0.709055,-6.2886114,"(128, 128, 128)"
22,"RT @QuaiNetwork: ""Proof-of-Work, by its very nature, incentivizes constant innovation and advancements in energy creation and distribution.…",2711,0,2023-06-08 09:45:58+00:00,"['rt', 'quainetwork', 'proofofwork', 'nature', 'incentivizes', 'constant', 'innovation', 'advancement', 'energy', 'creation', 'distribution…']",0.0,0.459,0.541,0.7003,Positive,['rt quainetwork proofofwork'],[],-1,-0.8572516,-4.346513,"(128, 128, 128)"
